#NAME?,Target Muscle Group 
Stability Ball Dead Bug,Abdominals
Bodyweight Glute Bridge,Legs
Bodyweight Bird Dog,Abdominals
Stability Ball Russian Twist ,Abdominals
Stability Ball Feet Elevated Crunch ,Abdominals
Ring Hanging Knee Raise ,Abdominals
Parallette Mountain Climber,Abdominals
Parallette Push Up,Chest
Bodyweight Knee Hover Bird Dog,Abdominals
Stability Ball V Up Pass,Abdominals
Bodyweight Dead Bug,Abdominals
Bodyweight Alternating Heel Taps,Abdominals
Bodyweight Flutter Kicks,Abdominals
Bodyweight Kneeling Forearm Plank,Abdominals
Bodyweight Seated Ab Circles,Abdominals
Ring Hanging Oblique Knee Raise,Abdominals
Stability Ball Stir the Pot,Abdominals
Bodyweight Alternating Lateral Kick Through,Abdominals
Ring L Sit Hang Flutter Kicks ,Abdominals
Slam Ball Russian Twist,Abdominals
Dumbbell Otis Up,Abdominals
Single Arm Dumbbell Side Plank Reach Through ,Abdominals
Ab Wheel Kneeling Rollout,Abdominals
Cable Seated Crunch,Abdominals
Cable Kneeling Crunch,Abdominals
Medicine Ball V Up,Abdominals
Suspension Knee Tuck,Abdominals
Suspension Lateral Knee Tuck,Abdominals
Suspension Archer Row ,Rear Shoulder
Single Arm Dumbbell Turkish Get Up,Abdominals
Bodyweight Bear Crawl,Abdominals
Stability Ball Knee Tuck,Abdominals
Ring Hanging Leg Raise ,Abdominals
Parallette L Sit,Abdominals
Bodyweight Standing Walkout Plank,Abdominals
Ring Eccentric Pull Up,Back
Barbell Climb,Abdominals
Bodyweight Ipsilateral Bird Dog,Abdominals
Bodyweight Copenhagen Plank Knee to Elbow,Legs
Ring Eccentric Chin Up,Biceps
Single Arm Dumbbell Seated Shoulder External Rotation,Rear Shoulder
Double Dumbbell Seated Cuban Rotation,Rear Shoulder
Double Dumbbell Standing Cuban Rotation,Rear Shoulder
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Rear Shoulder
Miniband Fire Hydrant,Legs
Medicine Ball Russian Twist,Abdominals
Bodyweight Side Plank,Abdominals
Cable Reverse Crunch,Abdominals
Cable Rope Half Kneeling High to Low Chop,Abdominals
Cable Rope Half Kneeling Low to High Chop,Abdominals
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Legs
Cable Rope Staggered Stance High to Low Chop ,Abdominals
Cable Rope Staggered Stance Low to High Chop,Abdominals
Single Arm Dumbbell Windmill,Abdominals
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Legs
Slider Double Kettlebell Front Rack Lateral Lunge,Legs
Bodyweight Feet On Wall Mountain Climber ,Abdominals
Slider Double Kettlebell Suitcase Reverse Lunge,Legs
Bodyweight Hollow Body Hold,Abdominals
Dumbbell Crush Grip Hollow Body Hold,Abdominals
Bar Inverted Hanging Crunch,Abdominals
Bodyweight Inverted Hanging Oblique Crunch,Abdominals
Slider Double Kettlebell Front Rack Reverse Lunge,Legs
Bodyweight Supine Alternating Single Leg Raise,Abdominals
Bodyweight Supine Leg Raise,Abdominals
Miniband Bicycle Crunch,Abdominals
Bodyweight Side Plank Reach Through,Abdominals
Bodyweight Sit Up,Abdominals
Bodyweight Butterfly Sit Up,Abdominals
Slider Mountain Climber,Abdominals
Slider Pike ,Abdominals
Stability Ball Pike,Abdominals
Slider Wide Mountain Climber,Abdominals
Stability Ball Crunch,Abdominals
Stability Ball Feet Elevated Oblique Crunch,Abdominals
Stability Ball Kneeling Rollout,Abdominals
Stability Ball Single Leg Knee Tuck,Abdominals
Stability Ball Single Leg Pike,Abdominals
Double Dumbbell Z Press,Front Shoulder
Slider Double Kettlebell Overhead Reverse Lunge,Legs
Double Dumbbell Romanian Deadlift,Legs
Single Arm Dumbbell Side Plank,Abdominals
Bodyweight Single Leg Glute Bridge,Legs
Dumbbell Glute Bridge,Legs
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Legs
Miniband Side Lying Clamshell,Legs
Miniband Ankle Side Lying Hip Abduction,Legs
Miniband Bench Seated Hip Abduction,Legs
Miniband Glute Bridge with Hip Abduction,Legs
Stability Ball Hip Thrust,Legs
Stability Ball Dumbbell Hip Thrust,Legs
Bodyweight Frog Pump,Legs
Dumbbell Frog Pump,Legs
Cable Glute Kickback,Legs
Bodyweight Single Leg Foot Elevated Glute Bridge,Legs
Suspension Feet Elevated Glute Bridge,Legs
Miniband Thigh Lateral Walk,Legs
Miniband Ankle Lateral Walk,Legs
Miniband Feet Lateral Walk,Legs
Miniband Standing Glute Kickback,Legs
Barbell Hip Thrust,Legs
Barbell Single Leg Hip Thrust,Legs
Stability Ball Single Leg Foot Elevated Glute Bridge,Legs
Miniband Standing Hip Abduction,Legs
Miniband 3 Way Cha Cha,Legs
Slider Single Arm Kettlebell Suitcase Contralateral Reverse Lunge,Legs
Cable Hip Abduction,Legs
Miniband Wall Sit Hip Abduction,Legs
Slider Barbell Overhead Lateral Lunge,Legs
Single Arm Dumbbell Half Kneeling Contralateral Overhead Press,Front Shoulder
Barbell Shrug,Back
Cable Face Pull,Rear Shoulder
Cable Seated Face Pull,Rear Shoulder
Cable Guillotine Curl,Biceps
Cable Supine Bicep Curl,Biceps
High Cable Straight Bar Bicep Curl,Biceps
Double Dumbbell Spider Curl,Biceps
EZ Bar Spider Curl,Biceps
Stability Ball Cable Preacher Curl,Biceps
Single Arm Dumbbell Standing Concentration Curl,Biceps
EZ Bar Wide Grip Bicep Curl,Biceps
Single Arm Cable Standing High Bicep Curl,Biceps
EZ Bar Seated Overhead Tricep Extension,Triceps
EZ Bar Standing Overhead Tricep Extension,Triceps
Barbell Thruster,Legs
Bodyweight Diamond Push Up,Triceps
